,cellid,batchid
184B5,184B5,NA
184A1,184A1,NA
21MT1,21MT1,NA
21MT2,21MT2,NA
21NT,21NT,NA
21PT,21PT,NA
600MPE,600MPE,NA
AU565,AU565,NA
BT-20,BT-20,NA
BT-474,BT-474,NA
BT-483,BT-483,NA
BT-549,BT-549,NA
CAL-120,CAL-120,NA
CAL-148,CAL-148,NA
CAL-51,CAL-51,NA
CAL-85-1,CAL-85-1,NA
CAMA-1,CAMA-1,NA
COLO-824,COLO-824,NA
DU-4475,DU-4475,NA
EFM-19,EFM-19,NA
EFM-192A,EFM-192A,NA
EFM-192B,EFM-192B,NA
EFM-192C,EFM-192C,NA
EVSA-T,EVSA-T,NA
HBL-100,HBL-100,NA
HCC1143,HCC1143,NA
HCC1187,HCC1187,NA
HCC1395,HCC1395,NA
HCC1419,HCC1419,NA
HCC1428,HCC1428,NA
HCC1500,HCC1500,NA
HCC1569,HCC1569,NA
HCC1599,HCC1599,NA
HCC1806,HCC1806,NA
HCC1937,HCC1937,NA
HCC1954,HCC1954,NA
HCC202,HCC202,NA
HCC2185,HCC2185,NA
HCC2218,HCC2218,NA
HCC3153,HCC3153,NA
HCC38,HCC38,NA
HCC70,HCC70,NA
HDQ-P1,HDQ-P1,NA
Hs-578-T,Hs-578-T,NA
JIMT-1,JIMT-1,NA
LY2,LY2,NA
MCF10A,MCF10A,NA
MCF10F,MCF10F,NA
MCF12A,MCF12A,NA
MCF7,MCF7,NA
MDAMB157,MDAMB157,NA
MDA-MB-231,MDA-MB-231,NA
MDA-MB-361,MDA-MB-361,NA
MDA-MB-415,MDA-MB-415,NA
MDA-MB-436,MDA-MB-436,NA
MDA-MB-453,MDA-MB-453,NA
MDA-MB-468,MDA-MB-468,NA
MFM-223,MFM-223,NA
MT3,MT3,NA
PMC42,PMC42,NA
S1,S1,NA
SK-BR-3,SK-BR-3,NA
SUM102PT,SUM102PT,NA
SUM 1315M02,SUM 1315M02,NA
SUM 149PT,SUM 149PT,NA
SUM 159PT,SUM 159PT,NA
SUM185PE,SUM185PE,NA
SUM 190,SUM 190,NA
SUM225CWN,SUM225CWN,NA
SUM 229PE,SUM 229PE,NA
SUM44PE,SUM44PE,NA
SUM 52PE,SUM 52PE,NA
T4,T4,NA
T47D,T47D,NA
UACC-812,UACC-812,NA
ZR-75-1,ZR-75-1,NA
ZR75B,ZR75B,NA
