HEISER NAME	CELL HMSLID-BATCH ID	LINCS NAME	COMMENT
1%BT20			REMOVE
1%CAMA1			REMOVE
1%JIMT1			REMOVE
1%LY2			REMOVE
1%MDAMB157			REMOVE
1%MDAMB231			REMOVE
1%MDAMB361			REMOVE
1%MDAMB436D			REMOVE
1%MDAMB453			REMOVE
1%MDAMB468D			REMOVE
1%UACC812			REMOVE
1%UACC893D			REMOVE
184A1	51088-1	184A1	
184B5	50576-1	184B5	
21MT1	51107-1	21MT-1	
21NT	51108-1	21NT	
21PT	51109-1	21PT	
600MPE	51092-1	600MPE	
AU565	50091-1	AU565	
BT20	50105-1	BT-20	
BT474	50106-1	BT-474	
BT483	50107-1	BT-483	
BT549	50108-1	BT-549	
CAL120	51110-1	CAL-120	
CAL148	51111-1	CAL-148	
CAL85	51112-1	CAL-85-1	
CAMA1	50131-1	CAMA-1	
EFM19	51113-1	EFM-19	
EFM192A	51114-1	EFM-192A	
EFM192B	51115-1	EFM-192B	
EFM192C	51116-1	EFM-192C	
HBL100	51117-1	HBL-100	
HCC1143	50205-1	HCC1143	
HCC1187	50578-1	HCC1187	
HCC1395	50206-1	HCC1395	
HCC1419	50207-1	HCC1419	
HCC1428	50208-1	HCC1428	
HCC1569	50210-1	HCC1569	
HCC1806	50211-1	HCC1806	
HCC1937	50212-1	HCC1937	
HCC1954	50213-1	HCC1954	
HCC202	50214-1	HCC202	
HCC2185	51093-1	HCC2185	
HCC3153	51094-1	HCC3153	
HCC38	50216-1	HCC38	
HCC70	50219-1	HCC70	
HS578T	50238-1	Hs 578T	
JIMT1	51118-1	JIMT-1	
LY2	51095-1	LY2	
MB157	50324-1	MB 157	
MCF10A	50583-1	MCF 10A	
MCF10F	50584-1	MCF 10F	
MCF12A	51089-1	MCF12A	
MCF7	50029-1	MCF7	
MDAMB134VI	50327-1	MDA-MB-134-VI	
MDAMB157	50328-1	MDA-MB-157	
MDAMB175VII	50329-1	MDA-MB-175-VII	
MDAMB231			REMOVE
MDAMB231ATCC	50058-1	MDA-MB-231	
MDAMB361	50331-1	MDA-MB-361	
MDAMB415	50332-2	MDA-MB-415	
MDAMB436	50333-1	MDA-MB-436	
MDAMB436D			REMOVE
MDAMB436L			REMOVE
MDAMB453	50334-1	MDA-MB-453	
MDAMB468	50335-1	MDA-MB-468	
MDAMB468D			REMOVE
MDAMB468L			REMOVE
MX1	51090-1	MX1	
S1	51119-1	HMT-3522 S1	
SKBR3	50057-1	SK-BR-3	
SUM102PT	51120-1	SUM102PT	
SUM1315MO2	51081-1	SUM1315MO2	
SUM149PT	51082-1	SUM149PT	
SUM159PT	51083-1	SUM159PT	
SUM185PE	51084-1	SUM185PE	
SUM190PT	51121-1	SUM190PT	
SUM225CWN	51085-1	SUM225CWN	
SUM229PE	51086-1	SUM229PE	
SUM44PE	51122-1	SUM44PE	
SUM52PE	51087-1	SUM52PE	
T4	51123-1	HMT-3522 T4-2	
T47D	50541-1	T47D	
T47DKBLUC	51091-1	T47DKBLUC	
UACC812	50556-1	UACC-812	
UACC893	50557-1	UACC-893	
UACC893D			REMOVE
UACC893L			REMOVE
ZR751	50574-1	ZR-75-1	
ZR7530	50575-2	ZR-75-30	
ZR75B	51096-1	ZR75B	
