HEISER NAME	HMSLID-(SALT ID)-BATCH ID	LINCS NAME	COMMENT
-	-	-	
17-AAG	10236-101-1	17-AAG	
2-deoxy-D-glucose	10501-999-1	2-deoxyglucose	
2C4	80077-1	Pertuzumab	
4-HC			REMOVE
4-HC+Dox Combo			REMOVE
5-FU	10238-101-1	5-FU	
5-FdUR	10237-101-1	5-DFUR	
AG1024	10239-101-1	AG1024	
AG1478	10223-101-2	AG1478	
AS-252424	10240-101-1	AS-252424	
AZD6244	10056-101-2	Selumetinib	
Baicalein	10343-101-1	Baicalein	
BEZ235	10232-101-2	Dactolisib	
BIBW2992	10133-101-2	Afatinib	
Bortezomib-batch1	10241-101-1	Bortezomib	SPLIT DATA
Bortezomib-batch2	10241-101-4	Bortezomib	SPLIT DATA
SKI-606(Bosutinib)	10189-101-2	Bosutinib	
Bromopyruvate	10502-101-1	Bromopyruvic acid	
Carboplatin	10242-101-1	Carboplatin	
Celecoxib(Celebrex)	10503-101-1	Celecoxib	
Cetuximab	80078-1	Cetuximab	
private_company_drug_8648	10243-999-1	CGC-11047	
private_company_drug_3098			REMOVE
Chk2 inhibitor II	10504-111-1	Chk2 inhibitor II	
Chloroquine	10505-999-1	Chloroquine	
CI1040	10048-999-6	PD184352	
Cisplatin	10245-101-1	Cisplatin	
CPT-11(FD)	10246-101-1	CPT-11	
Disulfiram	10507-999-1	Disulfiram	
DMSO			REMOVE
Docetaxel	10247-101-1	Docetaxel	
Doxorubicin			REMOVE
Doxorubicin(FD)	10248-101-1	Doxorubicin	
Epirubicin	10249-999-1	Epirubicin	
ERKi II (FR180304)	10110-101-3	FR180204	
Erlotinib	10097-102-3	Erlotinib	
Etoposide	10250-101-1	Etoposide	
Everolimus	10235-101-2	Everolimus	
Fascaplysin	10251-112-1	Fascaplysin	
FTase inhibitor I	10508-101-1	FTase Inhibitor I	
Iressa	10098-101-2	Gefitinib	
Geldanamycin	10108-101-2	Geldanamycin	
Gemcitabine	10252-999-1	Gemcitabine	
Glycyl H1152	10253-102-1	Glycyl-H-1152	
GM6001	10509-101-1	GM6001	
private_company_drug_5834			REMOVE
private_company_drug_1604			REMOVE
private_company_drug_2220	10062-101-3	GSK1070916	
private_company_drug_3560	10142-999-2	Trametinib	
private_company_drug_2459			REMOVE
private_company_drug_2931	10255-101-1	GSK1838705A	
private_company_drug_2931	10255-101-1	GSK1838705A	
private_company_drug_7388			REMOVE
private_company_drug_8271	10146-101-2	Omipalisib	
private_company_drug_8271	10146-101-2	Omipalisib	
private_company_drug_8437	10013-101-3	GSK461364	
private_company_drug_8461	10257-101-1	GSK923295	
GW5074	10029-101-2	GW-5074	
GW843682X	10014-101-3	GW843682X	
Herceptin	80076-1	Trastuzumab	
Ibandronate sodium salt	10258-110-1	Ibandronate	
ICRF-193	10259-101-1	ICRF-193	
IKK 16	10228-102-2	IKK16	
Imatinib	10023-103-3	Imatinib	
Ixabepilone	10261-101-1	Ixabepilone	
private_company_drug_2643	10051-999-3	Lapatinib	
LBH589	10263-101-1	LBH589	
Lestaurtinib(CEP-701)	10230-101-2	Lestaurtinib	
LY294002	10510-101-1	LY294002	
Mebendazole	10511-999-1	Mebendazole	
Methotrexate	10264-101-1	Methotrexate	
Methyl Glyoxol	10512-999-1	Methylglyoxal	
MG-132	10107-101-2	MG-132	
private_company_drug_3104	10265-101-1	Pevonedistat	
Nelfinavir	10513-999-1	Nelfinavir	
Nilotinib	10099-101-2	Nilotinib	
NSC663284	10266-101-1	NSC 663284	
NU6102	10267-101-1	NU6102	
private_company_drug_2498	10268-101-1	Nutlin 3a	
Olomoucine II	10344-101-1	Olomoucine II	
Oxaliplatin	10269-101-1	Oxaliplatin	
Oxamflatin	10270-101-1	Oxamflatin	
Paclitaxel	10102-101-3	Taxol	
PD173074	10026-101-3	PD173074	
PD184352	10048-101-7	PD184352	
PD98059(LC Labs)	10271-101-2	PD 98059	
Pemetrexed	10272-999-1	Pemetrexed	
PP242 hydrate	10345-111-3	Torkinib	
PP242 hydrate	10345-111-3	Torkinib	
private_company_drug_1693			REMOVE
private_company_drug_1945			REMOVE
private_company_drug_2172			REMOVE
private_company_drug_2461			REMOVE
private_company_drug_3432			REMOVE
private_company_drug_3509			REMOVE
private_company_drug_3832			REMOVE
private_company_drug_4258			REMOVE
private_company_drug_4881			REMOVE
private_company_drug_5045			REMOVE
private_company_drug_5177			REMOVE
private_company_drug_6156			REMOVE
private_company_drug_6939			REMOVE
private_company_drug_7270			REMOVE
private_company_drug_7344			REMOVE
private_company_drug_7590			REMOVE
private_company_drug_8435			REMOVE
private_company_drug_8887			REMOVE
private_company_drug_9155			REMOVE
private_company_drug_9182			REMOVE
private_company_drug_9499			REMOVE
private_company_drug_9729			REMOVE
PS-1145	10514-102-1	PS-1145	
Purvalanol A	10273-101-1	Purvalanol A	
QNZ	10515-101-1	QNZ	
