Cell HMS LINCS ID	Cell Name	Clinical Subtype	Transcriptional Subtype	Small Molecule HMS LINCS ID	Small Molecule HMS LINCS ID	Antibody HMS LINCS ID	Antibody Name	Perturbagen Target	Perturbagen Class	Biological Replicate ID	Conc Unit	GR50	GEC50	GRmax	GRinf	GR Hill Coefficient	GR_AOC	GR r2	Nominal Division Rate
51088-1	184A1	NM	Basal	10275-101-1	(Z)-4-Hydroxytamoxifen			ESR1		9047.132	uM	Inf	Inf	0.40548	0.40548	0	0.20744	0.30734	0.6985
51088-1	184A1	NM	Basal	10236-101-1	17-AAG			HSP90	HSP90	9047.037	uM	0.0092974	0.012821	-0.98256	-0.69886	2.7212	1.176	0.95385	0.5262
51088-1	184A1	NM	Basal	10237-101-1	5-DFUR			TYMS	TYMS	12509.143	uM	228.6372	1000	-0.24043	-0.6424	0.55995	0.26424	0.96967	1.3392
51088-1	184A1	NM	Basal	10238-101-1	5-FU			TYMS	TYMS	9047.017	uM	48.195	95.971	-0.84585	-0.8556	1.448	0.80937	0.9747	0.844
51088-1	184A1	NM	Basal	10239-101-1	AG1024			IGF1R	RTK	5894.066	uM	0.20895	0.19857	0.044181	0.11243	5	0.34435	0.9895	1.5027
51088-1	184A1	NM	Basal	10239-101-1	AG1024			IGF1R	RTK	5895.066	uM	0.19048	0.25224	-0.20067	-0.18527	1.1224	0.43509	0.99589	1.1612
51088-1	184A1	NM	Basal	10240-101-1	AS-252424			PI3K	PI3K	12509.165	uM	4.2204	9.5784	-0.090133	-0.48565	0.82808	0.19871	0.98429	1.5022
51088-1	184A1	NM	Basal	10133-101-2	Afatinib			EGFR/HER2	ErbB	12509.165	uM	0.022511	0.3374	-0.90878	-1	0.4058	0.82835	0.93072	1.5022
51088-1	184A1	NM	Basal	10232-101-2	Dactolisib			PI3K	PI3K	12509.155	uM	0.063993	0.054822	0.085909	0.073146	1.0226	0.46878	0.98122	1.3444
51088-1	184A1	NM	Basal	10343-101-1	Baicalein			Lipoxygenase	Metabolism	5895.073	uM	Inf	35.3825	0.59902	0.58171	2.0246	0.023457	0.94078	1.4431
51088-1	184A1	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5894.074	uM	0.037154	0.1327	-0.68987	-0.67646	0.67216	0.90588	0.95587	1.4541
51088-1	184A1	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5894.074	uM	0.037154	0.1327	-0.68987	-0.67646	0.67216	0.90588	0.95587	1.4541
51088-1	184A1	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5895.074	uM	0.021618	0.11251	-0.8342	-0.82444	0.59055	1.0107	0.95343	1.1218
51088-1	184A1	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5895.074	uM	0.021618	0.11251	-0.8342	-0.82444	0.59055	1.0107	0.95343	1.1218
51088-1	184A1	NM	Basal	10189-101-2	Bosutinib			Src	nRTK	12509.17	uM	0.45547	0.47009	-0.073922	-0.026867	1.6575	0.36644	0.94941	1.3955
51088-1	184A1	NM	Basal	10243-999-1	CGC-11047			Polyamine analogue		10002.034	uM	242.7866	399.0851	-0.9907	-1	2.2105	0.62693	0.79956	0.6736
51088-1	184A1	NM	Basal	10243-999-1	CGC-11047			Polyamine analogue		7787.018	uM	839.8353	1000	-0.83978	-0.69674	5	0.25769	0.88738	0.3791
51088-1	184A1	NM	Basal	10243-999-1	CGC-11047			Polyamine analogue		9047.026	uM	5.6711	70.6278	-0.99965	-1	0.43561	0.75163	0.81735	0.5972
51088-1	184A1	NM	Basal	10246-101-1	CPT-11			TOP1	TOP	10002.034	uM	3.4302	4.2287	-0.92549	-0.92327	4.9992	0.42472	0.99624	0.6736
51088-1	184A1	NM	Basal	10246-101-1	CPT-11			TOP1	TOP	9047.121	uM	3.3338	6.7644	-0.66938	-0.78368	1.3326	0.47894	0.91029	0.7949
51088-1	184A1	NM	Basal	10242-101-1	Carboplatin			DNA cross-linker	DNA cross-linker	10002.021	uM	13.7287	19.003	-0.82755	-0.78175	2.8956	0.6151	0.99252	0.7195
51088-1	184A1	NM	Basal	10242-101-1	Carboplatin			DNA cross-linker	DNA cross-linker	9047.011	uM	9.563	14.4169	-0.98734	-0.88996	2.4907	0.73561	0.94392	0.6293
51088-1	184A1	NM	Basal			80078-1	Cetuximab	EGFR	ErbB	7787.018	uM	Inf	Inf	0.46519	0.46519	0	0.38384	-0.001308	0.3791
