ID,cellline,tissue,drug,security,drug_plate_id,T0_plate_id,drug_group_id,background_od1,background_od2,od0.1,od0.2,od0.3,od1.1,od1.2,od1.3,od2.1,od2.2,od2.3,od3.1,od3.2,od3.3,od4.1,od4.2,od4.3,od5.1,od5.2,od5.3,od6.1,od6.2,od6.3,od7.1,od7.2,od7.3,od8.1,od8.2,od8.3,od9.1,od9.2,od9.3,T0_background_od1,T0_background_od2,T0_median_od
1,184A1,breast,2-deoxy-D-glucose,public,12681,12684,177,45,90,245,1533,2072,16,1425,2760,2116,475,39,67,52,2815,12,2085,16,2545,901,2509,2736,11,925,2148,1492,8,1426,1437,100,878,23,1025,40,100,1270
2,184A1,breast,Bromopyruvate,public,12681,12684,177,45,90,245,1533,2072,2153,1678,730,1995,144,2540,2081,2277,2399,557,2246,2262,11,62,59,62,40,26,21,28,67,62,32,15,11,18,9,40,100,1270
3,184A1,breast,Chloroquine,public,12681,12684,177,45,90,245,1533,2072,2206,2138,2783,2063,1922,2344,866,2067,1597,1717,691,14,18,24,2670,38,20,1849,791,1989,2157,19,894,614,30,30,10,40,100,1270
4,184A1,breast,Disulfiram,public,12682,12684,174,50,121,3154,3425,3612,3120,3954,3040,3857,3482,3150,3649,4111,3239,3550,3236,3833,3287,3233,3589,3966,2860,3170,3188,2810,3010,2203,2068,2673,1017,599,3335,40,100,1270
5,184A1,breast,Mebendazole,public,12682,12684,174,50,121,3154,3425,3612,3382,3627,3797,3690,3674,2949,3421,3247,3713,3180,3060,3478,3354,3001,4063,2442,2698,2484,2307,2583,2652,2417,2597,2227,2341,2266,2382,40,100,1270
6,184A1,breast,Nelfinavir,public,12682,12684,174,50,121,3154,3425,3612,3777,3496,3553,4031,3640,3141,3060,3515,2896,3436,2953,3616,3339,3258,3522,2905,2985,3056,3208,3128,3285,667,956,970,389,335,324,40,100,1270
9,184A1,breast,Sodium Dichloroacetate,public,12683,12684,176,63,140,3725,3030,2822,2912,3080,2788,2910,3455,3340,3213,3146,3058,3504,2818,3207,3473,3025,3328,2848,2725,2733,3338,3034,3030,3155,3191,2934,2969,2970,3103,40,100,1270
13,184B5,breast,2-deoxy-D-glucose,public,12978,12979,177,52,107,431,2396,2368,22,1795,2334,2308,1381,49,631,519,2981,20,2755,25,1829,1088,2777,3259,17,1764,2901,1312,15,1487,1219,160,1174,38,1069,34,101,1184.5
14,184B5,breast,Bromopyruvate,public,12978,12979,177,52,107,431,2396,2368,2615,2134,1397,2278,427,3033,2932,2274,2483,1207,3069,2670,21,77,518,80,59,29,25,31,82,81,50,32,20,27,14,34,101,1184.5
15,184B5,breast,Chloroquine,public,12978,12979,177,52,107,431,2396,2368,2274,2327,6300,3268,2577,2219,1125,2337,2310,1928,1147,16,28,33,2725,50,34,2228,1277,1660,2575,21,1744,1636,43,36,20,34,101,1184.5
19,184B5,breast,Disulfiram,public,12981,12979,174,60,121,4040,3005,3162,3247,3332,3114,3662,4264,3273,3498,3665,3387,4288,3303,2626,3791,3381,3335,2997,3218,2460,3461,3468,2302,2383,1994,2336,110,89,88,34,101,1184.5
20,184B5,breast,Mebendazole,public,12981,12979,174,60,121,4040,3005,3162,3599,3947,3155,2658,3218,2232,3162,3417,3762,3317,3214,3916,3177,3577,3945,2866,3414,2406,2963,2184,2877,2386,2689,1750,2023,2662,3245,34,101,1184.5
21,184B5,breast,Nelfinavir,public,12981,12979,174,60,121,4040,3005,3162,4294,3586,3791,3676,3718,3422,3300,3749,2513,4337,3358,3549,4282,4235,3386,4009,3764,3415,4197,2676,3114,1726,1694,1798,220,236,210,34,101,1184.5
24,184B5,breast,Sodium Dichloroacetate,public,12982,12979,176,52,131,2337,2152,2530,2235,3220,1998,3013,2825,1877,2507,3438,1824,2474,2403,2938,2073,3332,3474,2998,1700,1726,1951,2256,2112,2680,1892,2136,1805,1947,3043,34,101,1184.5
25,21NT,breast,Disulfiram,public,13572,13575,174,95,160,6792,6908,6409,6387,6657,6165,6451,6696,6377,6700,6544,6183,6873,6361,6367,6787,6567,6487,6103,6224,5569,7018,6609,6186,5986,6641,6055,535,615,764,53,124,2281
26,21NT,breast,Mebendazole,public,13572,13575,174,95,160,6792,6908,6409,6469,6852,6241,6668,6143,5799,6196,6830,6326,6556,6336,6517,6301,6618,6244,5706,5641,4948,2903,2629,2894,5280,3710,2537,2790,2697,4573,53,124,2281
27,21NT,breast,Nelfinavir,public,13572,13575,174,95,160,6792,6908,6409,6809,6520,6411,6712,6508,6332,6622,6631,5946,6828,6808,6398,6565,6918,6356,6655,6801,6320,6910,6603,6213,6587,6752,6544,1584,1715,1620,53,124,2281
30,21NT,breast,Sodium Dichloroacetate,public,13574,13575,176,103,179,5701,6518,6467,5918,6417,6238,6731,5875,5640,6584,7011,6239,6262,6108,6535,5371,6308,6249,6631,5780,5494,5960,6192,5713,6616,6087,5889,5502,5048,5480,53,124,2281
31,600MPE,breast,2-deoxy-D-glucose,public,13084,13091,177,49,116,1636,2105,2237,29,2136,2099,2129,1268,475,1285,1239,2331,31,2057,174,2304,2121,2098,2303,28,1852,2199,2175,29,2167,2208,1503,2149,88,1938,44,110,1252.5
32,600MPE,breast,Bromopyruvate,public,13084,13091,177,49,116,1636,2105,2237,2191,2182,1495,2155,233,2308,2088,2252,2174,1909,2199,1999,27,1873,1952,1329,924,37,23,41,76,76,57,31,19,33,17,44,110,1252.5
33,600MPE,breast,Chloroquine,public,13084,13091,177,49,116,1636,2105,2237,1885,2175,2103,2235,1968,1977,1780,2105,2015,1881,2088,22,35,62,1967,632,96,1918,1764,2095,1872,32,1541,1249,52,46,22,44,110,1252.5
39,600MPE,breast,Methyl Glyoxol,public,13086,13091,184,42,118,2055,2212,2119,2238,2236,1849,2161,2056,2061,2195,2149,2038,2073,2249,1927,1803,2112,2067,2014,2124,1479,208,281,618,78,96,335,57,72,48,44,110,1252.5
45,600MPE,breast,Sodium Dichloroacetate,public,13088,13091,176,48,116,2193,2287,2232,2119,2266,1924,2322,2162,2188,2260,2334,2046,2260,2301,2024,2159,2326,2055,2259,2266,1867,2243,2298,2207,2399,2261,1993,2159,2406,2067,44,110,1252.5
46,600MPE,breast,Disulfiram,public,13090,13091,174,47,107,2181,2080,2096,2075,2038,1862,2113,2173,1993,2137,2002,1889,2097,2064,1936,2148,1975,1924,567,580,703,1226,1264,979,611,645,755,64,63,818,44,110,1252.5
47,600MPE,breast,Mebendazole,public,13090,13091,174,47,107,2181,2080,2096,2007,2136,1942,2036,1934,1882,2036,2120,2169,2008,2095,2122,2004,2095,1987,2019,2047,1895,1725,1807,2100,1765,1636,1527,1359,1575,1708,44,110,1252.5
48,600MPE,breast,Nelfinavir,public,13090,13091,174,47,107,2181,2080,2096,2117,2109,1928,2053,2079,1949,2110,2081,1959,2137,2033,2034,2149,2186,2014,2060,2059,1938,2115,1940,1918,1877,1743,1882,287,194,364,44,110,1252.5
49,AU565,breast,2-deoxy-D-glucose,public,13028,13030,177,29,81,69,50,40,27,44,1749,968,29,69,44,44,1899,20,784,20,490,38,1830,1906,21,119,41,55,18,1282,897,81,688,25,668,41,108,1471.5
50,AU565,breast,Bromopyruvate,public,13028,13030,177,29,81,69,50,40,1702,40,23,42,48,1933,47,492,1747,21,1989,2259,20,46,1542,49,25,43,7,22,50,19,11,3,7,11,11,41,108,1471.5
51,AU565,breast,Chloroquine,public,13028,13030,177,29,81,69,50,40,42,44,1626,176,60,1162,29,47,155,35,32,18,24,21,2097,42,42,185,52,817,1852,22,61,18,19,10,6,41,108,1471.5
