Source Name	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [Sex]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellType]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [BioSourceProvider]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [ClinicalInformation]	Factor Value [CellLine]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
MDAMB468	MDAMB468	EFO	EFO_0001216	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MDAMB468	P-MTAB-12195	MDAMB468	total_RNA	P-MTAB-12196	MDAMB468 biotin	biotin	synthetic_RNA	P-MTAB-12197	0272_MDAMB468	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	MDAMB468	EFO	EFO_0001216	0272_MDAMB468.CEL	0272_MDAMB468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
UACC812	UACC812	EFO	EFO_0001258	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Gray Lab	P-MTAB-12194	UACC812	P-MTAB-12195	UACC812	total_RNA	P-MTAB-12196	UACC812 biotin	biotin	synthetic_RNA	P-MTAB-12197	0287_UACC812	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	UACC812	EFO	EFO_0001258	0287_UACC812.CEL	0287_UACC812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
BT549	BT549	EFO	EFO_0001096	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	BT549	P-MTAB-12195	BT549	total_RNA	P-MTAB-12196	BT549 biotin	biotin	synthetic_RNA	P-MTAB-12197	0293_BT549	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-B	BT549	EFO	EFO_0001096	0293_BT549.CEL	0293_BT549.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
184B5	184B5	  	  	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	184B5	P-MTAB-12195	184B5	total_RNA	P-MTAB-12196	184B5 biotin	biotin	synthetic_RNA	P-MTAB-12197	0231_184B5	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	184B5	  	  	0231_184B5.CEL	0231_184B5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
SUM44PE	SUM44PE	EFO	EFO_0001245	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Steve Ethier	P-MTAB-12194	SUM44PE	P-MTAB-12195	SUM44PE	total_RNA	P-MTAB-12196	SUM44PE biotin	biotin	synthetic_RNA	P-MTAB-12197	0274_SUM44PE	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	SUM44PE	EFO	EFO_0001245	0274_SUM44PE.CEL	0274_SUM44PE.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
AU565	AU565	EFO	EFO_0001087	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	ATCC	P-MTAB-12194	AU565	P-MTAB-12195	AU565	total_RNA	P-MTAB-12196	AU565 biotin	biotin	synthetic_RNA	P-MTAB-12197	0233_AU565	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	AU565	EFO	EFO_0001087	0233_AU565.CEL	0233_AU565.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
HCC1599	HCC1599	EFO	EFO_0002186	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC1599	P-MTAB-12195	HCC1599	total_RNA	P-MTAB-12196	HCC1599 biotin	biotin	synthetic_RNA	P-MTAB-12197	0250_HCC1599	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	HCC1599	EFO	EFO_0002186	0250_HCC1599.CEL	0250_HCC1599.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
MDAMB361	MDAMB361	EFO	EFO_0001211	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MDAMB361	P-MTAB-12195	MDAMB361	total_RNA	P-MTAB-12196	MDAMB361 biotin	biotin	synthetic_RNA	P-MTAB-12197	0267_MDAMB361	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	MDAMB361	EFO	EFO_0001211	0267_MDAMB361.CEL	0267_MDAMB361.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.1.zip	  	        	  
HCC202	HCC202	EFO	EFO_0001176	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC202	P-MTAB-12195	HCC202	total_RNA	P-MTAB-12196	HCC202 biotin	biotin	synthetic_RNA	P-MTAB-12197	0242_HCC202	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	HCC202	EFO	EFO_0001176	0242_HCC202.CEL	0242_HCC202.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
MDAMB415	MDAMB415	EFO	EFO_0001212	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MDAMB415	P-MTAB-12195	MDAMB415	total_RNA	P-MTAB-12196	MDAMB415 biotin	biotin	synthetic_RNA	P-MTAB-12197	0268_MDAMB415	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	MDAMB415	EFO	EFO_0001212	0268_MDAMB415.CEL	0268_MDAMB415.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
