Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [StrainOrLine]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
BT549	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	BT549	EFO	EFO_0001096	Georgetown	P-TABM-807	BT549	P-TABM-799	BT549	total_RNA	P-TABM-804	BT549 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT549_hyb	A-AFFY-33	P-AFFY-6	BT549	EFO	EFO_0001096	05.BT549.U133A.CEL	05.BT549.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB453	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB453	EFO	EFO_0001215	Georgetown	P-TABM-797	MDAMB453	P-TABM-799	MDAMB453	total_RNA	P-TABM-804	MDAMB453 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB453_hyb	A-AFFY-33	P-AFFY-6	MDAMB453	EFO	EFO_0001215	06_MDA-MB453.U133A.CEL	06_MDA-MB453.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC2185	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC2185	EFO	EFO_0001178	Adi gazdar	P-TABM-807	HCC2185	P-TABM-799	HCC2185	total_RNA	P-TABM-804	HCC2185 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC2185_hyb	A-AFFY-33	P-AFFY-6	HCC2185	EFO	EFO_0001178	021_HCC2185.U133A.CEL	021_HCC2185.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1008	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1007	EFO	EFO_0001168	Adi gazdar	P-TABM-807	HCC1008	P-TABM-799	HCC1008	total_RNA	P-TABM-804	HCC1008 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1008_hyb	A-AFFY-33	P-AFFY-6	HCC1008	EFO	EFO_0002057	020_HCC1007.U133A.CEL	020_HCC1007.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC38	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC38	EFO	EFO_0001180	Adi gazdar	P-TABM-807	HCC38	P-TABM-799	HCC38	total_RNA	P-TABM-804	HCC38 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC38_hyb	A-AFFY-33	P-AFFY-6	HCC38	EFO	EFO_0001180	03.HCC-38.U133A.CEL	03.HCC-38.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MCF7	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MCF7	  	  	Georgetown	P-TABM-797	MCF7	P-TABM-799	MCF7	total_RNA	P-TABM-804	MCF7 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF7_hyb	A-AFFY-33	P-AFFY-6	MCF7	  	  	02.MCF7.U133A.CEL	02.MCF7.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM159PT	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM159PT	EFO	EFO_0001241	Steve Ethier	P-TABM-801	SUM159PT	P-TABM-799	SUM159PT	total_RNA	P-TABM-804	SUM159PT biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM159PT_hyb	A-AFFY-33	P-AFFY-6	SUM159PT	EFO	EFO_0001241	040_SUM-159PT.U133A.CEL	040_SUM-159PT.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM225CWN	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM225CWN	EFO	EFO_0001244	Steve Ethier	P-TABM-801	SUM225CWN	P-TABM-799	SUM225CWN	total_RNA	P-TABM-804	SUM225CWN biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM225CWN_hyb	A-AFFY-33	P-AFFY-6	SUM225CWN	EFO	EFO_0001244	08. SUM225.CEL	08._SUM225.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1428	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1428	EFO	EFO_0001171	Adi gazdar	P-TABM-807	HCC1428	P-TABM-799	HCC1428	total_RNA	P-TABM-804	HCC1428 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1428_hyb	A-AFFY-33	P-AFFY-6	HCC1428	EFO	EFO_0001171	018_HCC1428.U133A.CEL	018_HCC1428.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
600MPE	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	600MPE	EFO	EFO_0001085	Gray Lab	P-TABM-797	600MPE	P-TABM-799	600MPE	total_RNA	P-TABM-804	600MPE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	600MPE_hyb	A-AFFY-33	P-AFFY-6	600MPE	EFO	EFO_0001085	08.600MPE.U133A.CEL	08.600MPE.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
