,cellid,GEO,batchid
184A1,184A1,GSM1172844,NA
184B5,184B5,GSM1172845,NA
21MT1,21MT1,GSM1172846,NA
21MT2,21MT2,GSM1172847,NA
21NT,21NT,GSM1172848,NA
21PT,21PT,GSM1172849,NA
600MPE,600MPE,GSM1172850,NA
AU565,AU565,GSM1172851,NA
BT-474,BT-474,GSM1172853,NA
BT-483,BT-483,GSM1172854,NA
BT-549,BT-549,GSM1172855,NA
CAMA-1,CAMA-1,GSM1172856,NA
DU-4475,DU-4475,NA,NA
EFM-192A,EFM-192A,GSM1172858,NA
EFM-192B,EFM-192B,GSM1172859,NA
EFM-192C,EFM-192C,GSM1172860,NA
HCC1143,HCC1143,GSM1172861,NA
HCC1395,HCC1395,GSM1172863,NA
HCC1419,HCC1419,GSM1172864,NA
HCC1428,HCC1428,GSM1172865,NA
HCC1569,HCC1569,GSM1172867,NA
HCC1599,HCC1599,GSM1172868,NA
HCC1806,HCC1806,GSM1172869,NA
HCC1937,HCC1937,GSM1172870,NA
HCC1954,HCC1954,GSM1172871,NA
HCC202,HCC202,GSM1172872,NA
HCC2218,HCC2218,GSM1172873,NA
HCC3153,HCC3153,GSM1172874,NA
HCC38,HCC38,GSM1172875,NA
HCC70,HCC70,GSM1172876,NA
Hs-578-T,Hs-578-T,GSM1172877,NA
JIMT-1,JIMT-1,GSM1172878,NA
LY2,LY2,GSM1172879,NA
MB157,MB157,GSM1172881,NA
MCF10A,MCF10A,GSM1172882,NA
MCF10F,MCF10F,GSM1172883,NA
MCF12A,MCF12A,GSM1172884,NA
MCF7,MCF7,GSM1172885,NA
MDA-MB-175-VII,MDA-MB-175-VII,GSM1172888,NA
MDA-MB-231,MDA-MB-231,GSM1172889,NA
MDA-MB-361,MDA-MB-361,GSM1172890,NA
MDA-MB-453,MDA-MB-453,GSM1384316,NA
SK-BR-3,SK-BR-3,GSM1172895,NA
SUM 149PT,SUM 149PT,GSM1172897,NA
SUM 190,SUM 190,NA,NA
SUM225CWN,SUM225CWN,GSM1172901,NA
SUM 229PE,SUM 229PE,GSM1172902,NA
SUM 52PE,SUM 52PE,GSM1172903,NA
T47D,T47D,GSM1172904,NA
UACC-812,UACC-812,GSM1172906,NA
UACC-893,UACC-893,GSM1172907,NA
ZR-75-1,ZR-75-1,GSM1172908,NA
ZR-75-30,ZR-75-30,GSM1172909,NA
ZR75B,ZR75B,GSM1172910,NA
