,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
1,22RV1,22RV1,22Rv1,22RV1,NA,NA,NA,NA,22RV1,22Rv1,22RV1,NA,22RV1,22Rv1,22RV1,prostate,prostate,prostate,NA,NA,NA,NA,prostate,prostate,urogenital_system ,NA,NA,prostate,prostate,prostate,NA,prostate,22RV1,prostate
2,23132-87,23132-87,23132/87,NA,NA,NA,23132/87,NA,23132-87,23132_87,23132-87,NA,2313287,23132-87,23132-87,stomach,stomach,NA,NA,NA,NA,NA,Stomach,stomach,digestive_system ,NA,NA,stomach,stomach,stomach,Stomach,stomach,NA,NA
3,380,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
4,5637,5637,5637,5637,NA,NA,NA,5637,5637,5637,NA,NA,5637,NA,5637,urinary_tract,urinary_tract,bladder,NA,NA,NA,URINARY_TRACT,Bladder,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,5637,urinary_tract
5,639-V,639-V,639-V,639V,NA,NA,NA,NA,639-V,639-V,639-V,NA,639V,NA,639-V,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,NA,NA
6,647-V,647-V,647-V,647V,NA,NA,NA,NA,647-V,647-V,647-V,NA,647V,NA,647-V,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,647V,urinary_tract
7,697,697,697,NA,NA,NA,NA,NA,697,697,697,NA,697,NA,697,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
8,769-P,769-P,769-P,769P,NA,NA,769-P,NA,769-P,769-P,769-P,NA,769P,769-P,769-P,kidney,kidney,kidney,NA,NA,Kidney,NA,Kidney,kidney,kidney ,NA,NA,kidney,kidney,kidney,Kidney,kidney,769P,kidney
9,786-0,786-0,786-O,786O,RE:786_0,NA,786-O,NA,786-o,786-O,NA,NA,786O,786-O,786-0,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,NA,NA,NA,kidney,kidney,kidney,Kidney,kidney,786O,kidney
10,8305C,8305C,8305C,NA,NA,NA,NA,NA,8305C,8305C,8305C,NA,8305C,8305C,8305C,thyroid,thyroid,NA,NA,NA,NA,NA,Thyroid,thyroid,thyroid ,NA,NA,thyroid,thyroid,thyroid,Thyroid,thyroid,NA,NA
11,8505C,8505C,8505C,NA,NA,NA,NA,NA,8505C,8505C,8505C,NA,8505C,8505C,8505C,thyroid,thyroid,NA,NA,NA,NA,NA,thyroid,thyroid,thyroid ,NA,NA,thyroid,thyroid,thyroid,Thyroid,thyroid,8505C,thyroid
12,8-MG-BA,8-MG-BA,8-MG-BA,NA,NA,NA,NA,NA,8-MG-BA,8-MG-BA,8-MG-BA,NA,8MGBA,NA,8-MG-BA,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,8MGBA,central_nervous_system
