Array Design Name	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Comment[AdditionalFile:CDF]	HG-U133A.CDF
Comment[AdditionalFile:CDF]	HG-U133A.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-33
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	genbank	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-33_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[blocks]	Composite Element Database Entry[interpro]	Composite Element Database Entry[locus]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[swall]	Composite Element Database Entry[unigene]	Composite Element Database Entry[genbank]	Composite Element Database Entry[omim]	Composite Element Database Entry[pfam]	Composite Element Database Entry[refseq]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[kegg]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
AFFX-BioB-5_at	J04423	AFFX-BioB-5_at																
AFFX-BioB-M_at	J04423	AFFX-BioB-M_at																
AFFX-BioB-3_at	J04423	AFFX-BioB-3_at																
AFFX-BioC-5_at	J04423	AFFX-BioC-5_at																
AFFX-BioC-3_at	J04423	AFFX-BioC-3_at																
AFFX-BioDn-5_at	J04423	AFFX-BioDn-5_at																
AFFX-BioDn-3_at	J04423	AFFX-BioDn-3_at																
AFFX-CreX-5_at	X03453	AFFX-CreX-5_at																
AFFX-CreX-3_at	X03453	AFFX-CreX-3_at																
AFFX-DapX-5_at	L38424	AFFX-DapX-5_at																
AFFX-DapX-M_at	L38424	AFFX-DapX-M_at																
AFFX-DapX-3_at	L38424	AFFX-DapX-3_at																
AFFX-LysX-5_at	X17013	AFFX-LysX-5_at																
AFFX-LysX-M_at	X17013	AFFX-LysX-M_at																
AFFX-LysX-3_at	X17013	AFFX-LysX-3_at																
AFFX-PheX-5_at	M24537	AFFX-PheX-5_at																
AFFX-PheX-M_at	M24537	AFFX-PheX-M_at																
AFFX-PheX-3_at	M24537	AFFX-PheX-3_at																
AFFX-ThrX-5_at	X04603	AFFX-ThrX-5_at																
AFFX-ThrX-M_at	X04603	AFFX-ThrX-M_at																
AFFX-ThrX-3_at	X04603	AFFX-ThrX-3_at																
AFFX-TrpnX-5_at	K01391	AFFX-TrpnX-5_at																
AFFX-TrpnX-M_at	K01391	AFFX-TrpnX-M_at																
AFFX-TrpnX-3_at	K01391	AFFX-TrpnX-3_at																
AFFX-HUMISGF3A/M97935_5_at	M97935	AFFX-HUMISGF3A/M97935_5_at	IPB001217	IPR001217	6772	ENSG00000115415	AAH02704	Hs.21486	21536301	600555	STAT	NM_007315	d1bg1a2					
AFFX-HUMISGF3A/M97935_MA_at	M97935	AFFX-HUMISGF3A/M97935_MA_at	IPB001217	IPR001217	6772	ENSG00000115415	P42224	Hs.21486	21536301	600555	STAT	NM_007315	d1bgf__					
AFFX-HUMISGF3A/M97935_MB_at	M97935	AFFX-HUMISGF3A/M97935_MB_at	IPB001217	IPR001217	6772	ENSG00000115415	AAH02704	Hs.21486	21536301	600555	SH2	NM_007315	d1bgf__					
AFFX-HUMISGF3A/M97935_3_at	M97935	AFFX-HUMISGF3A/M97935_3_at	IPB001217	IPR001217	6772	ENSG00000115415	P42224	Hs.21486	21536301	600555	STAT	NM_007315	d1bg1a1					
AFFX-HUMRGE/M10098_5_at	M10098	AFFX-HUMRGE/M10098_5_at																
AFFX-HUMRGE/M10098_M_at	M10098	AFFX-HUMRGE/M10098_M_at																
AFFX-HUMRGE/M10098_3_at	M10098	AFFX-HUMRGE/M10098_3_at																
